book_name,authors,publisher,pub_time,desc,score,people_num,price,img
纪录片创作六讲,王竞 ,世界图书出版公司, 2014-2 ,★ 北京电影学院摄影系《纪录片创作》课程的配套教材，从纪录片的功能、题材选择，一直介绍到拍摄手法、规律 ★ 作者是近来口碑佳作《万箭穿心》《大明劫》的导演，...,8.3,990, 29.80元,https://img1.doubanio.com/view/subject/s/public/s27188458.jpg
香港电影往事,魏君子 ,文化艺术出版社, 2021-1 ,《香港电影往事》是一本讲述香港电影发展史的访谈类图书。作者通过对香港电影史上一些代表性人物的记录，如邹文怀、田丰、王羽、麦嘉、吴宇森、黄百鸣、甄子丹等，以及...,6.8,112, 58,https://img1.doubanio.com/view/subject/s/public/s33778707.jpg
收割电影 : 追寻纪录片中至高无上的幸福,[日] 小川绅介、山根贞男 编  冯艳 ,上海人民出版社, 2007-10 ,本书是日本电影评论家山根贞男在日本著名纪录片导演小川绅介去世后，根据小川生前在各地的讲演录音整理而来。全书分为春、夏、秋、冬四章，讲述了小川摄制组从拍摄学生...,8.9,802, 26.00元,https://img1.doubanio.com/view/subject/s/public/s4605777.jpg
与奥逊·威尔斯共进午餐,[美] 奥逊·威尔斯 亨利·雅格洛 口述、彼得·比斯金德 编  黄渊 ,北京联合出版公司, 2017-7 ,靠着多年后重见天日的一批录音带 为您带来一部“实话实说”“毫无避讳”的私人谈话录 在天才导演奥逊·威尔斯的餐桌旁 听他“爆炒”好莱坞、抖漏历史秘闻、挤兑政坛...,8.5,577, 58.00元,https://img1.doubanio.com/view/subject/s/public/s29481910.jpg
日落大道 : 对话比利·怀尔德,[美]卡梅伦·克罗  张衍 ,中信出版集团, 2022-3 ,“也许年轻时的比利·怀尔德塑造的最伟大的人物，就是比利·怀尔德自己。 ” ★好莱坞黄金时代伟大的导演 ★十五次奥斯卡金像奖提名 七次获奖 ★首位同时获得三项...,8.5,153, 78.00元,https://img1.doubanio.com/view/subject/s/public/s34087739.jpg
希区柯克论电影,[法] 弗朗索瓦·特吕弗  严敏 ,上海文艺出版社, 1988-8 ,一九七五年再版前言 艾尔弗雷德·希区柯克的这本谈话录早在一九六六年，已由罗贝尔·拉丰出版社首次出版；如今，承蒙比埃尔·雷米尼埃先生坚持不懈的努力，它又再版了...,9.0,283, 4.10元,https://img9.doubanio.com/view/subject/s/public/s1884266.jpg
剧本 : 影视写作的艺术、技巧和商业运作,[美] 理查德·沃尔特  杨劲桦 ,天津人民出版社, 2017-6 ,【内容简介】 加州大学洛杉矶分校（UCLA）电影学院的影视写作专业在全美国排名No.1，而本书作者理查德·沃尔特是这个专业的主席。他讲授的影视写作课被《纽约...,8.3,2573, 58.00元,https://img9.doubanio.com/view/subject/s/public/s29432484.jpg
理解戈达尔 : 聚焦《筋疲力尽》与《轻蔑》,[法] 米歇尔·玛利  胡敌、龚金丹 ,理想国 | 广西师范大学出版社, 2017-9-1 ,戈达尔之后，电影被永久地改变了。这位法国-瑞士籍导演的影片从不会让人无动于衷，无论在影评界还是普通观众之中，他的顶礼膜拜者与极尽讥讽者总是旗鼓相当。 本书选...,7.6,333, 55.00元,https://img1.doubanio.com/view/subject/s/public/s29533278.jpg
希区柯克的12种人生,[英]爱德华·怀特  黄渊 ,上海人民出版社, 2023-5-10 ,阿尔弗雷德·希区柯克（Alfred Hitchcock，1899－1980）是英国电影导演及制片人，在长达六十年的艺术生涯中，他共拍摄了超过五十部电影，被称...,8.9,17, 88.00,https://img1.doubanio.com/view/subject/s/public/s34511530.jpg
电影性教育读本,方刚 ,中国人民大学出版社, 2014-7 ,80部人们耳熟能详的经典电影，性教育专家从性教育的角度对其情节进行分析与解读，编写成方便教师进行学校性教育教学的参考资料，同时也可以成为家长同孩子谈性时的依...,8.1,88, 88元,https://img1.doubanio.com/view/subject/s/public/s27321619.jpg
